id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,habitaciones,dormitorios,baños,sup_total,sup_cubierta,precio,moneda,price_period,título,descr,tipo_propiedad,tipo_operac,sup_fondo
c5yJJ1Q6mHBGKGwQU3cXlw==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.57575226,-58.53709793,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,San Martín,NA,NA,2,NA,2,130,120,115000,USD,Mensual,Sarmiento  1600 - U$D 115.000 - Casa en Venta,"EN EXCELENTE UBICACION EN EL CENTRO DE SAN MARTIN, CON FACIL SALIDA A LA GRAL PAZ, CERCA DE LA FACULTAD UNSAM . CASA EN PH . CUENTA CON UN GRAN LIVING COMEDOR , COCINA COMEDOR, DOS DORMITORIOS EN PLANTA BAJA Y UN BAÑO, PATIO CON ENTRADA DE SERVICIO Y EN PLANTA ALTA (TERRAZA) 2 HABITACIONES APTAS PARA TODO DESTINO Y UN BAÑO. PARRILLA Y MESA DE GRANITO",Casa,Venta,10
SDclLllkr+IzqSQHfH4K6A==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.56578827,-58.51494217,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Villa Maipu,NA,NA,2,NA,1,100,75,120000,USD,Mensual,A Lincoln  1200 - U$D 120.000 - Tipo casa PH en Venta,"Tipo casa al frente 3 ambientes con amplio patio. Consta de living comedor, comedor diario, cocina instalada, baño instalado, 2 dormitorios con pisos de parquet, lavadero cubierto, patio de 5 x 5 con parrilla, todos los servicios.  Son 75 m2 cubiertos en aceptable estado general. Muy luminoso, buena zona. A 7m cuadras de Capital. Sin expensas. Ubicación Lincoln N 1234 entre P.Obligado y B.S.Mer. Precio: u$s 120.000.-Información Adicional: Tipo de piso: Ceramicos y BaldosasTipo de techo: LosaTipo de expensas: No Paga",Casa,Venta,25
/eVR44ssVQhVcdiRWBwoFw==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.53608704,-58.55043411,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Villa Ballester,NA,NA,2,NA,1,110,110,137000,USD,Mensual,Falucho  1400 PB - U$D 137.000 - Tipo casa PH en Venta,P.H. AL FRENTE CON LOCAL EN ESQUINA CON BAÑO,Casa,Venta,0
g2kaign50l1yuhOyvshmSA==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.57991791,-58.53343201,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,San Martín,NA,NA,2,NA,1,60,60,75000,USD,Mensual,Juárez   3200 - U$D 75.000 - Tipo casa PH en Venta,"PH 3 ambientes en Planta Baja cerca de la estación San Martín, cuenta con 2 dormitorios c/plac., living comedor, cocina con comedor diario,  patio con lavadero y baulera.  Apto profesional . IDEAL INVERSION !!!!!!",Casa,Venta,0
4g2+nVBdpbFCc+5eT0zriA==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.5360527,-58.55561447,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Villa Ballester,NA,NA,2,NA,1,80,80,130000,USD,Mensual,Charlone  1300 - U$D 130.000 - Casa en Venta,"Casa a refaccionar lote 11x22 living comedor, cocina comedor, 2 dormitorios, baño, lavadero independencia, cuarto de herramientas amplio jardin.",Casa,Venta,0
BD0MHXqG7Q9HM2AojCQc/g==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.57348251,-58.54797363,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,San Andres,NA,NA,2,NA,1,108,100,130000,USD,Mensual,Felix Ballester  2800 P B - U$D 130.000 - Tipo casa PH en Venta,"PH tipo casa 3 ambientes al frente con patio y cochera. Necesita refacciones.DESCRIPCIÓN DE LA PROPIEDAD:* Jardín al frente* Comedor, hall de distribución.* Cocina independiente.* Dormitorio principal al frente amplio pura luz.* 2do dormitorio * Baño completo.* Patio con lavadero y pequeño cuarto de guardado",Casa,Venta,8
roL0GEMOqZn5/M+158m9kA==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.57678986,-58.5302124,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,San Martín,NA,NA,2,NA,1,60,60,75000,USD,Mensual,Juárez   3200 - U$D 75.000 - Tipo casa PH en Venta,"PH DE 3 AMBIENTES - IDEAL INVERSIÓNCUENTA CON 2 DORMITORIOS, LIVING COMEDOR, COCINA CON COMEDOR DIARIO, BAÑO COMPLETO CON BAÑERA, PATIO CON LAVADERO Y BAULERA.APTO PROFESIONALA 4 CUADRAS DE ESTACIÓN SAN MARTÍN (FERROCARRIL MITRE)CERCA DE UNSAMRÁPIDO ACCESO A GRAL PAZ",Casa,Venta,0
9R2KwBf2DjPxFUCZys+bjA==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.54518509,-58.55901337,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Villa Ballester,NA,NA,2,NA,1,200,127,190000,USD,Mensual,San Lorenzo  2600 - U$D 190.000 - Casa en Venta,"Casa de 3 Ambientes con Cochera Cubierta, Jardín y Galpón. La propiedad se encuentra desarrollada en 1 Planta. Jardín por delante de la casa, 2 Habitación Amplias , 1 Baño Completo. Gran Cocina con Comedor Diario, Amplio Jardín con un Cuarto de Herramientas, Cochera Cubierta.Lote 10 x 20 mtsMedidasCocina: 3,8 x 2,65Cocmedor Diario 3,65 x 3,11° Habitación: 4 x 3,452° Habitación: 3,45 x 3,7Garage 6 x 2,5Jardín 7,9 x 4, 8Baño 2,35 x 2,15Cuarto de Herramientas: 1,7 x 5,35Coti en Tramite por el PropietarioMedidas Aproximadas, las definitivas surgirán del plano.Esperamos su llamado para combinar la visita cuando guste.L a V de 9 a 12 y de 16 a 19:30. Sab de 9 a 13 Tel  o 4764- ,  peramos tu llamado!Fortini PropiedadesC.M.C.P.S.M. 2473",Casa,Venta,73
Y6xfprXTeCFDY7VSTYru3Q==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.53637314,-58.56866455,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Villa Ballester,NA,NA,2,NA,1,200,100,175000,USD,Mensual,Lacroze  6500 - U$D 175.000 - Casa en Venta,"Impecable ChaletLiving comedor amplio con hogar, cocina completa, comedor diario, dos dormitorios, baño, lavadero independiente, patio,  jardín , terraza, cuarto de herramientas y cochera. Muy Luminosa.",Casa,Venta,100
j/cTMrZq9i155gk5DmAliQ==,Propiedad,2020-10-02,2020-10-03,2020-10-02,-34.5730896,-58.56510925,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Billinghurst,NA,NA,2,NA,1,233,110,110000,USD,Mensual,Lopez Y Planes  5200 - U$D 110.000 - Casa en Venta,"Casa AL FRENTE 3 Ambientes Con patio y cochera para 2 vehículos y al fondo departamento 3 ambientes A TERMINAR –  Billinghurst, Partido de General San Martín, Buenos Aires 233 m²CASA EN BUEN ESTADO - Muy luminosa y amplia 110 M2 CUBIERTOS - Billinghurst - San Martín Ambientes: PLANTA BAJA AL FRENTE:  - Cocina completa y Comedor (muebles bajo mesada y alacena) - Living amplio- 2 Dormitorio - 1 Baño completo - Lavadero - Patio- Terraza amplia 90m2 - 2 Cocheras una cubierta otra descubiertaFONDO:Departamento 3 ambientes A TERMINARPlanta baja:- Cocina- Comedor- BañoPlanta alta:- 2 Dormitorios- Baño Estado general: MUY BUENO SUPERFICIE CUBIERTA: ..................110 m2. Ubicación: - A 8 cuadras de la Ruta 8- A 3 cuadras del Colegio La Salle San Martín- Próximo a numerosas líneas de colectivos La información gráfica y escrita contenida en el presente aviso es meramente a título estimativo y no forma parte de ningún tipo de documentación contractual. Las medidas y superficies definitivas surgirán del título de propiedad del inmueble referido. El valor del inmueble indicado en el presente puede ser modificado sin previo aviso.",Casa,Venta,123
