"player","goals","shots","assists","keyPasses","yellowCard","redCard","ligue","position","games","position_general"
"Cristiano Lombardi",1,24,2,19,7,0,"Serie A","Sub",35,"Suplente"
"Cristiano Piccini",3,44,3,35,12,2,"La Liga","DR",68,"Defensor Lateral"
"Cristiano Ronaldo",215,1342,54,333,22,1,"La Liga","FW",224,"Delantero"
"Cristo González",0,1,0,1,0,0,"La Liga","Sub",1,"Suplente"
"Cristóbal Jorquera",1,20,3,33,5,0,"Serie A","MC",17,"Centrocampista"
"Cuco Martina",1,6,3,30,3,0,"Premier League","DR",45,"Defensor Lateral"
"Curro",0,3,1,4,3,0,"La Liga","AMR",4,"Centrocampista Ofensivo"
"Curtis Davies",0,22,2,4,6,0,"Premier League","DC",47,"Defensor Central"
"Curtis Jones",2,25,2,12,2,0,"Premier League","Sub",30,"Suplente"
"Cyriak Garel",0,0,0,0,0,0,"Ligue 1","Sub",1,"Suplente"
"Cyril Théréau",40,234,9,126,11,1,"Serie A","FW",135,"Delantero"
"Cyrus Christie",0,12,1,17,7,0,"Premier League","Sub",28,"Suplente"
"Cédric Bakambu",32,129,4,39,14,0,"La Liga","FW",75,"Delantero"
"Cédric Barbosa",4,20,2,23,2,0,"Ligue 1","AML",29,"Centrocampista Ofensivo"
"Cédric Brunner",0,6,1,16,6,0,"Bundesliga","DR",31,"Defensor Lateral"
"Cédric Cambon",1,6,0,6,6,1,"Ligue 1","DC",26,"Defensor Central"
"Cédric Carrasso",0,0,0,2,2,0,"Ligue 1","GK",81,"Portero"
"Cédric Mongongu",0,1,0,1,4,0,"Ligue 1","DC",27,"Defensor Central"
"Cédric Soares",2,84,13,125,19,0,"Premier League","DR",139,"Defensor Lateral"
"Cédric Yambéré",7,59,0,14,19,2,"Ligue 1","DC",108,"Defensor Central"
"César Azpilicueta",9,105,29,191,23,2,"Premier League","DC",241,"Defensor Central"
"Daam Foulon",0,1,1,4,4,0,"Serie A","Sub",23,"Suplente"
"Daan Dierckx",0,0,0,0,1,0,"Serie A","DC",7,"Defensor Central"
"Daichi Kamada",7,86,16,94,8,0,"Bundesliga","AMC",63,"Centrocampista Ofensivo"
"Daishawn Redan",0,4,0,1,0,0,"Bundesliga","Sub",8,"Suplente"
"Dalbert",0,51,10,79,20,1,"Serie A","DL",101,"Defensor Lateral"
"Dale Stephens",1,52,5,53,21,1,"Premier League","MC",106,"Centrocampista"
"Daley Blind",4,44,5,73,8,0,"Premier League","DC",90,"Defensor Central"
"Daley Sinkgraven",0,6,1,22,5,0,"Bundesliga","DL",35,"Defensor Lateral"
"Dame N&#039;Doye",6,51,1,16,5,0,"Premier League","FW",26,"Delantero"
"Damian Kadzior",0,5,0,1,0,0,"La Liga","Sub",6,"Suplente"
"Damien Da Silva",14,106,4,28,33,5,"Ligue 1","DC",219,"Defensor Central"
"Damien Delaney",2,39,5,24,16,1,"Premier League","DC",93,"Defensor Central"
"Damien Le Tallec",5,62,0,30,9,1,"Ligue 1","MC",87,"Centrocampista"
"Damir Ceter",0,1,0,4,0,0,"Serie A","Sub",6,"Suplente"
"Damián Musto",0,14,0,8,11,0,"La Liga","MC",24,"Centrocampista"
"Damián Suárez",4,79,15,200,71,4,"La Liga","DR",195,"Defensor Lateral"
"Damjan Djokovic",2,43,4,47,9,0,"Ligue 1","MC",35,"Centrocampista"
"Dan Burn",1,30,0,30,10,0,"Premier League","DL",61,"Defensor Lateral"
"Dan Gosling",12,113,4,74,31,0,"Premier League","MC",138,"Centrocampista"
"Dan Ndoye",1,12,1,5,0,0,"Ligue 1","Sub",28,"Suplente"
"Dan-Axel Zagadou",4,24,1,11,5,1,"Bundesliga","DC",52,"Defensor Central"
"Dane Scarlett",0,0,0,0,0,0,"Premier League","Sub",1,"Suplente"
"Dani Alves",4,110,26,173,28,2,"La Liga","DR",126,"Defensor Lateral"
"Dani Calvo",2,8,0,0,3,0,"La Liga","DC",23,"Defensor Central"
"Dani Castellano",0,21,3,32,12,0,"La Liga","DL",78,"Defensor Lateral"
"Dani Ceballos",7,109,9,145,25,1,"La Liga","MC",148,"Centrocampista"
"Dani Escriche",1,10,1,8,5,1,"La Liga","Sub",23,"Suplente"
"Dani García",2,99,6,91,80,2,"La Liga","DMC",229,"Centrocampista Defensivo"
"Dani Giménez",0,0,0,1,0,0,"La Liga","GK",8,"Portero"
"Dani Gómez",2,31,2,11,3,0,"La Liga","Sub",34,"Suplente"
"Dani Martín",0,0,0,1,0,0,"La Liga","GK",6,"Portero"
"Dani Ndi",1,16,0,9,2,0,"La Liga","AMC",21,"Centrocampista Ofensivo"
"Dani Nieto",0,5,0,4,1,0,"La Liga","Sub",9,"Suplente"
"Dani Olmo",8,98,10,50,2,0,"Bundesliga","AMC",44,"Centrocampista Ofensivo"
"Dani Rodríguez",5,51,2,39,7,0,"La Liga","MR",37,"Centrocampista"
"Dani Romera",0,1,0,0,0,0,"La Liga","Sub",5,"Suplente"
"Dani Schahin",0,8,0,1,1,0,"Bundesliga","Sub",12,"Suplente"
"Daniel Agyei",0,2,0,0,0,0,"Premier League","Sub",3,"Suplente"
"Daniel Amartey",2,22,1,19,7,1,"Premier League","Sub",58,"Suplente"
"Daniel Ayala",1,10,0,0,3,0,"Premier League","DC",14,"Defensor Central"
"Daniel Baier",4,142,9,172,35,0,"Bundesliga","DMC",174,"Centrocampista Defensivo"
"Daniel Bessa",4,57,7,83,14,0,"Serie A","MC",80,"Centrocampista"
"Daniel Brosinski",10,152,23,240,18,1,"Bundesliga","DR",193,"Defensor Lateral"
"Daniel Brückner",0,8,1,19,5,0,"Bundesliga","DL",23,"Defensor Lateral"
"Daniel Caligiuri",34,287,31,286,30,0,"Bundesliga","MR",214,"Centrocampista"
"Daniel Candeias",0,7,1,4,1,0,"La Liga","Sub",11,"Suplente"
"Daniel Carriço",3,37,2,15,28,1,"La Liga","DC",89,"Defensor Central"
"Daniel Carvajal",2,74,22,211,66,1,"La Liga","DR",168,"Defensor Lateral"
"Daniel Ciofani",14,129,3,55,2,0,"Serie A","FW",69,"Delantero"
"Daniel Congré",8,72,3,33,25,3,"Ligue 1","DC",220,"Defensor Central"
"Daniel Cárdenas",0,0,0,0,1,0,"La Liga","GK",8,"Portero"
"Daniel Didavi",36,258,15,151,17,1,"Bundesliga","AMC",133,"Centrocampista Ofensivo"
"Daniel Drinkwater",4,95,8,74,11,1,"Premier League","MC",104,"Centrocampista"
"Daniel Fuzato",0,0,0,0,0,0,"Serie A","GK",6,"Portero"
"Daniel Ginczek",26,157,6,74,13,0,"Bundesliga","FW",101,"Delantero"
"Daniel Halfar",0,30,1,24,1,0,"Bundesliga","Sub",22,"Suplente"
"Daniel Heuer Fernandes",0,0,0,0,0,0,"Bundesliga","GK",7,"Portero"
