"player","goals","shots","assists","keyPasses","yellowCard","redCard","ligue","position","games","position_general"
"Aaron Connolly",5,59,2,12,0,0,"Premier League","FW",41,"Delantero"
"Aaron Cresswell",8,127,26,227,26,1,"Premier League","DL",224,"Defensor Lateral"
"Aaron Hickey",0,2,0,2,3,1,"Serie A","DL",11,"Defensor Lateral"
"Aaron Hunt",10,77,6,140,7,0,"Bundesliga","AMC",89,"Centrocampista Ofensivo"
"Aaron Lennon",8,51,6,73,11,0,"Premier League","Sub",120,"Suplente"
"Aaron Leya Iseka",10,82,2,32,8,1,"Ligue 1","Sub",79,"Suplente"
"Aaron Mattia Tabacchi",0,0,0,1,0,0,"Serie A","Sub",1,"Suplente"
"Aaron Mooy",9,105,6,132,9,1,"Premier League","MC",96,"Centrocampista"
"Aaron Ramsdale",0,0,1,4,1,0,"Premier League","GK",75,"Portero"
"Aaron Ramsey",28,315,33,211,17,0,"Premier League","Sub",181,"Suplente"
"Aaron Rowe",0,0,0,0,0,0,"Premier League","Sub",2,"Suplente"
"Aaron Seydel",1,4,0,0,0,0,"Bundesliga","Sub",6,"Suplente"
"Aaron Wan-Bissaka",2,23,11,73,16,1,"Premier League","DR",111,"Defensor Lateral"
"Aarón",0,0,0,0,1,0,"La Liga","GK",8,"Portero"
"Aarón Martín",0,41,6,158,17,0,"La Liga","DL",141,"Defensor Lateral"
"Aarón Ñíguez",0,29,1,12,5,0,"La Liga","AML",21,"Centrocampista Ofensivo"
"Abdallah Ndour",0,1,0,12,2,2,"Ligue 1","DML",15,"Centrocampista Defensivo"
"Abdel Barrada",2,36,6,70,5,2,"Ligue 1","Sub",33,"Suplente"
"Abdelhamid El Kaoutari",1,4,1,10,5,1,"Ligue 1","DC",69,"Defensor Central"
"Abdelhamid Sabiri",4,48,2,9,7,0,"Bundesliga","Sub",31,"Suplente"
"Abdelkader Ghezzal",0,20,0,3,0,0,"Serie A","Sub",19,"Suplente"
"Abdou Diakhate",0,0,0,0,0,0,"Serie A","Sub",1,"Suplente"
"Abdou Diallo",3,32,4,20,11,3,"Bundesliga","DC",103,"Defensor Central"
"Abdou Karim Coulibaly",0,11,0,6,0,0,"Ligue 1","FWL",9,"Delantero"
"Abdou Traoré",0,9,0,6,1,0,"Ligue 1","Sub",33,"Suplente"
"Abdoul Ba",0,2,0,0,0,0,"Ligue 1","Sub",9,"Suplente"
"Abdoul Camara",4,48,1,27,4,0,"Ligue 1","FWL",31,"Delantero"
"Abdoul Kader Bamba",4,34,4,60,7,0,"Ligue 1","Sub",56,"Suplente"
"Abdoul Sissoko",0,4,0,6,1,0,"La Liga","DL",11,"Defensor Lateral"
"Abdoulay Konko",0,20,0,12,5,0,"Serie A","DR",30,"Defensor Lateral"
"Abdoulaye Ba",1,17,0,5,14,2,"La Liga","DC",46,"Defensor Central"
"Abdoulaye Bamba",0,15,6,43,14,0,"Ligue 1","DR",79,"Defensor Lateral"
"Abdoulaye Dabo",0,0,0,3,0,0,"Ligue 1","AML",2,"Centrocampista Ofensivo"
"Abdoulaye Diaby",0,1,0,1,0,0,"Ligue 1","Sub",4,"Suplente"
"Abdoulaye Diallo",0,0,0,0,0,0,"Ligue 1","GK",16,"Portero"
"Abdoulaye Doucouré",24,282,23,223,46,0,"Premier League","MC",224,"Centrocampista"
"Abdoulaye Keita",0,11,1,3,2,0,"Ligue 1","Sub",30,"Suplente"
"Abdoulaye Sidibé",0,0,0,0,1,0,"Ligue 1","Sub",1,"Suplente"
"Abdoulaye Sylla",0,0,0,0,0,0,"Ligue 1","Sub",2,"Suplente"
"Abdoulaye Touré",9,162,4,80,13,1,"Ligue 1","MC",142,"Centrocampista"
"Abdul Rahman Baba",1,27,8,42,11,0,"Bundesliga","DL",75,"Defensor Lateral"
"Abdón Prats",0,11,0,1,1,0,"La Liga","Sub",20,"Suplente"
"Abel Aguilar",0,10,1,9,5,0,"Ligue 1","MC",21,"Centrocampista"
"Abel Gómez",0,23,0,18,2,0,"La Liga","DMC",22,"Centrocampista Defensivo"
"Abel Hernández",8,91,4,22,2,0,"Premier League","FW",49,"Delantero"
"Abel Ruiz",0,1,0,1,0,0,"La Liga","Sub",1,"Suplente"
"Ablie Jallow",0,1,0,2,0,0,"Ligue 1","AML",2,"Centrocampista Ofensivo"
"Abou Diaby",0,0,0,5,1,0,"Ligue 1","DMC",5,"Centrocampista Defensivo"
"Abou Ouattara",0,0,0,0,0,0,"Ligue 1","Sub",1,"Suplente"
"Aboubakar Kamara",4,37,0,24,4,2,"Premier League","Sub",36,"Suplente"
"Abraham",3,39,4,32,9,0,"La Liga","Sub",64,"Suplente"
"Accursio Bentivegna",0,2,0,0,1,0,"Serie A","Sub",7,"Suplente"
"Achraf Hakimi",16,100,22,88,15,0,"Bundesliga","DMR",100,"Centrocampista Defensivo"
"Achraf Lazaar",4,65,5,44,4,1,"Serie A","DML",68,"Centrocampista Defensivo"
"Adalberto Peñaranda",5,49,3,30,12,0,"La Liga","FW",45,"Delantero"
"Adam Armstrong",0,7,1,6,1,0,"Premier League","Sub",11,"Suplente"
"Adam Bodzek",0,11,1,17,15,1,"Bundesliga","MC",49,"Centrocampista"
"Adam Bogdan",0,0,0,0,0,0,"Premier League","GK",2,"Portero"
"Adam Clayton",0,11,2,20,10,0,"Premier League","MC",34,"Centrocampista"
"Adam Federici",0,0,0,0,1,0,"Premier League","GK",8,"Portero"
"Adam Forshaw",0,28,1,28,4,0,"Premier League","MC",34,"Centrocampista"
"Adam Hlousek",0,4,0,7,5,1,"Bundesliga","DL",29,"Defensor Lateral"
"Adam Idah",0,6,0,1,0,0,"Premier League","Sub",12,"Suplente"
"Adam Johnson",6,41,6,68,5,0,"Premier League","Sub",51,"Suplente"
"Adam Lallana",19,175,18,171,12,0,"Premier League","Sub",158,"Suplente"
"Adam Marusic",8,93,10,94,10,2,"Serie A","DMR",109,"Centrocampista Defensivo"
"Adam Masina",4,66,5,71,30,3,"Serie A","DL",139,"Defensor Lateral"
"Adam Matthews",0,0,0,0,0,0,"Premier League","Sub",1,"Suplente"
"Adam Matuschyk",0,7,1,3,0,0,"Bundesliga","Sub",10,"Suplente"
"Adam Ounas",17,148,11,118,12,2,"Ligue 1","Sub",112,"Suplente"
"Adam Smith",5,65,10,86,29,1,"Premier League","DR",143,"Defensor Lateral"
"Adam Webster",4,41,1,15,8,0,"Premier League","DC",60,"Defensor Central"
"Adam Zrelák",2,17,1,9,4,0,"Bundesliga","FW",14,"Delantero"
"Adama Diakhaby",6,44,3,22,5,1,"Ligue 1","Sub",59,"Suplente"
"Adama Diomande",2,23,0,13,1,0,"Premier League","Sub",22,"Suplente"
"Adama Mbengue",0,23,0,13,5,1,"Ligue 1","DL",30,"Defensor Lateral"
"Adama Niane",8,74,3,19,6,0,"Ligue 1","FW",36,"Delantero"
"Adama Soumaoro",4,45,1,16,21,2,"Ligue 1","DC",127,"Defensor Central"
"Adama Traoré",15,176,20,201,15,0,"Premier League","Sub",197,"Suplente"
"Adamo Coulibaly",4,58,1,22,4,0,"Ligue 1","FWL",33,"Delantero"
"Aday Benítez",2,42,2,35,12,0,"La Liga","DML",41,"Centrocampista Defensivo"
"Adel Taarabt",2,50,5,53,5,1,"Serie A","Sub",35,"Suplente"
"Adem Ljajic",27,246,23,228,11,0,"Serie A","FWL",119,"Delantero"
"Ademola Lookman",10,124,9,96,6,0,"Premier League","Sub",92,"Suplente"
"Aderlan Santos",0,9,0,1,1,1,"La Liga","DC",29,"Defensor Central"
"Adil Aouchiche",2,26,5,59,2,0,"Ligue 1","Sub",35,"Suplente"
"Adil Rami",3,64,5,28,22,2,"La Liga","DC",119,"Defensor Central"
"Adil Taoui",0,1,0,0,0,0,"Ligue 1","Sub",2,"Suplente"
"Adilson Malanda",0,0,0,0,0,0,"Ligue 1","Sub",1,"Suplente"
"Adlène Guédioura",0,37,3,19,5,0,"Premier League","Sub",42,"Suplente"
"Admir Mehmedi",20,177,18,171,11,0,"Bundesliga","Sub",160,"Suplente"
"Adnan Januzaj",13,206,19,169,14,1,"La Liga","Sub",153,"Suplente"
"Adnane Tighadouini",1,15,0,5,0,0,"La Liga","Sub",10,"Suplente"
"Adolfo Gaich",2,24,0,5,1,0,"Serie A","FW",15,"Delantero"
"Adrian Grbic",4,34,0,4,2,0,"Ligue 1","Sub",33,"Suplente"
"Adrian Mariappa",0,22,0,17,14,1,"Premier League","DC",96,"Defensor Central"
"Adrian Sahibeddine",0,2,0,0,0,0,"Ligue 1","Sub",3,"Suplente"
"Adrian Semper",0,0,0,0,0,0,"Serie A","GK",6,"Portero"
"Adrian Stoian",5,38,6,46,8,0,"Serie A","ML",59,"Centrocampista"
"Adriano",0,9,2,14,2,0,"La Liga","DL",24,"Defensor Lateral"
"Adriano Russo",1,1,0,3,2,0,"Serie A","DC",10,"Defensor Central"
"Adrien Hunou",25,127,3,53,7,0,"Ligue 1","Sub",108,"Suplente"
"Adrien Lebeau",0,0,0,0,0,0,"Ligue 1","Sub",2,"Suplente"
"Adrien Louveau",0,0,0,0,0,0,"Ligue 1","Sub",1,"Suplente"
"Adrien Rabiot",16,136,13,88,21,3,"Ligue 1","MC",180,"Centrocampista"
"Adrien Regattin",4,69,9,89,8,0,"Ligue 1","Sub",68,"Suplente"
"Adrien Silva",1,40,4,37,22,1,"Ligue 1","MC",75,"Centrocampista"
"Adrien Tameze",2,49,4,54,18,0,"Ligue 1","MC",111,"Centrocampista"
"Adrien Thomasson",28,314,24,236,33,3,"Ligue 1","AMC",216,"Centrocampista Ofensivo"
"Adrien Truffert",1,24,3,21,3,0,"Ligue 1","DL",29,"Defensor Lateral"
"Adrià Guerrero",0,0,0,0,1,0,"La Liga","Sub",2,"Suplente"
"Adrià Ortolá",0,0,0,1,0,0,"La Liga","GK",2,"Portero"
"Adrià Pedrosa",2,18,0,13,4,0,"La Liga","DL",32,"Defensor Lateral"
"Adrián",33,259,13,148,35,3,"La Liga","GK",340,"Portero"
"Adrián Colunga",0,4,0,3,0,1,"La Liga","AML",4,"Centrocampista Ofensivo"
"Adrián Cubas",1,11,0,10,4,1,"Ligue 1","DMC",28,"Centrocampista Defensivo"
"Adrián Diéguez",0,4,0,1,8,0,"La Liga","DC",15,"Defensor Central"
"Adrián Embarba",12,151,18,121,13,1,"La Liga","Sub",96,"Suplente"
"Adrián Gunino",0,1,0,13,4,0,"La Liga","DR",23,"Defensor Lateral"
"Adrián Marín",0,16,1,21,10,0,"La Liga","DL",63,"Defensor Lateral"
"Adrián Ramos",17,96,8,52,6,0,"Bundesliga","Sub",73,"Suplente"
"Adryan",3,29,2,29,2,1,"Ligue 1","AML",26,"Centrocampista Ofensivo"
"Aduriz",66,354,12,93,42,1,"La Liga","FW",164,"Delantero"
"Afonso Figueiredo",0,0,0,3,1,0,"Ligue 1","Sub",10,"Suplente"
"Afriyie Acquah",8,92,3,71,27,6,"Serie A","MC",123,"Centrocampista"
"Agustín Rogel",0,4,0,2,0,0,"Ligue 1","DC",10,"Defensor Central"
"Ahmad Toure Ngouyamsa Nounchili",0,0,0,0,2,0,"Ligue 1","Sub",4,"Suplente"
"Ahmadou Bamba Dieng",0,1,0,0,0,0,"Ligue 1","Sub",5,"Suplente"
"Ahmed Benali",7,52,4,43,8,1,"Serie A","MC",61,"Centrocampista"
"Ahmed Elmohamady",3,39,8,125,10,1,"Premier League","DR",103,"Defensor Lateral"
"Ahmed Hegazy",2,14,0,6,4,0,"Premier League","DC",39,"Defensor Central"
"Ahmed Kantari",1,12,0,5,6,0,"Ligue 1","DC",31,"Defensor Central"
"Ahmed Kashi",1,23,0,11,2,0,"Ligue 1","DMC",19,"Centrocampista Defensivo"
"Ahmed Kutucu",5,30,2,8,3,0,"Bundesliga","Sub",45,"Suplente"
"Ahmed Musa",2,17,0,7,1,0,"Premier League","Sub",21,"Suplente"
"Ahmet Arslan",0,0,0,0,0,0,"Bundesliga","Sub",1,"Suplente"
"Ahmet Gürleyen",0,1,0,0,0,0,"Bundesliga","Sub",1,"Suplente"
"Aiden McGeady",1,22,2,17,1,0,"Premier League","AMR",16,"Centrocampista Ofensivo"
"Aiden O&#039;Neill",0,1,0,0,0,0,"Premier League","Sub",3,"Suplente"
"Aihen Muñoz",0,6,1,14,7,0,"La Liga","DL",42,"Defensor Lateral"
"Ailton",0,1,0,2,0,0,"Bundesliga","Sub",5,"Suplente"
"Aimar Oroz",0,0,0,0,0,0,"La Liga","Sub",1,"Suplente"
"Ainsley Maitland-Niles",1,26,3,31,8,2,"Premier League","Sub",79,"Suplente"
"Aissa Laidouni",0,0,0,1,0,0,"Ligue 1","DR",1,"Defensor Lateral"
"Aissa Mandi",18,94,6,61,42,4,"La Liga","DC",216,"Defensor Central"
"Aitor Cantalapiedra",0,0,0,0,0,0,"La Liga","Sub",1,"Suplente"
"Aitor Fernández",0,0,0,2,2,0,"La Liga","GK",81,"Portero"
"Aitor Ruibal",2,49,2,36,6,0,"La Liga","Sub",55,"Suplente"
"Ajdin Hrustic",1,7,0,4,2,0,"Bundesliga","Sub",11,"Suplente"
"Akaki Gogia",0,3,1,6,1,0,"Bundesliga","Sub",10,"Suplente"
"Aketxe",1,12,1,9,2,0,"La Liga","Sub",14,"Suplente"
"Akin Famewo",0,0,0,0,0,0,"Premier League","Sub",1,"Suplente"
"Akram Afif",0,1,0,5,2,0,"La Liga","Sub",9,"Suplente"
"Alaeddine Yahia",4,46,0,12,14,2,"Ligue 1","DC",75,"Defensor Central"
"Alain Traoré",0,3,0,0,0,0,"Ligue 1","Sub",7,"Suplente"
"Alan Empereur",0,3,0,1,4,0,"Serie A","DC",17,"Defensor Central"
"Alan Hutton",1,20,1,44,14,1,"Premier League","DR",58,"Defensor Lateral"
"Alassane Pléa",64,508,32,202,20,2,"Ligue 1","FW",202,"Delantero"
"Alassane Tambe",0,1,0,1,0,0,"Serie A","Sub",6,"Suplente"
"Alassane Toure",1,7,0,7,5,0,"Ligue 1","DR",13,"Defensor Lateral"
"Alban Lafont",0,1,0,5,15,0,"Ligue 1","GK",197,"Portero"
"Alban Meha",3,61,0,21,1,0,"Bundesliga","ML",18,"Centrocampista"
"Albano Bizzarri",0,0,0,1,5,1,"Serie A","GK",124,"Portero"
"Albert Adomah",0,4,0,1,0,0,"Premier League","AMR",2,"Centrocampista Ofensivo"
"Albert Rafetraniaina",0,6,0,4,4,0,"Ligue 1","DMC",22,"Centrocampista Defensivo"
"Albert-Nicolas Lottin",0,0,0,0,0,0,"Ligue 1","Sub",3,"Suplente"
"Alberto",0,4,0,6,5,1,"La Liga","MC",16,"Centrocampista"
"Alberto Aquilani",1,65,1,57,13,1,"Serie A","MC",71,"Centrocampista"
"Alberto Brignoli",1,1,0,0,2,0,"Serie A","GK",15,"Portero"
"Alberto Bueno",19,118,7,51,4,0,"La Liga","AMC",71,"Centrocampista Ofensivo"
"Alberto Cerri",5,73,0,32,7,0,"Serie A","Sub",71,"Suplente"
"Alberto Cifuentes",0,0,0,1,0,0,"La Liga","GK",2,"Portero"
"Alberto De la Bella",1,22,5,45,13,0,"La Liga","DL",55,"Defensor Lateral"
"Alberto García",0,0,0,0,1,0,"La Liga","GK",23,"Portero"
"Alberto Gilardino",14,74,4,37,6,0,"Serie A","FW",64,"Delantero"
"Alberto Grassi",5,92,1,31,18,1,"Serie A","MC",108,"Centrocampista"
"Alberto Lopo",2,14,0,3,19,1,"La Liga","DC",40,"Defensor Central"
"Alberto Lora",0,10,4,21,7,1,"La Liga","DR",38,"Defensor Lateral"
"Alberto López",0,0,0,0,0,0,"La Liga","Sub",1,"Suplente"
"Alberto Moreno",3,83,5,130,17,0,"Premier League","DL",113,"Defensor Lateral"
"Alberto Paleari",0,0,0,0,0,0,"Serie A","GK",3,"Portero"
"Alberto Paloschi",28,193,6,71,10,0,"Serie A","FW",157,"Delantero"
"Alberto Pelagotti",0,0,0,0,0,0,"Serie A","GK",9,"Portero"
"Alberto Perea",2,28,3,13,0,0,"La Liga","ML",27,"Centrocampista"
"Alberto Pomini",0,0,0,0,0,0,"Serie A","GK",4,"Portero"
"Alberto Redondo",0,0,0,0,0,0,"La Liga","DR",1,"Defensor Lateral"
"Alberto Rodríguez",0,3,0,2,3,1,"La Liga","Sub",18,"Suplente"
"Alberto Soro",1,2,2,6,1,0,"La Liga","Sub",15,"Suplente"
"Albian Ajeti",0,3,0,2,0,0,"Premier League","Sub",10,"Suplente"
"Albin Ekdal",8,105,6,96,39,1,"Serie A","MC",183,"Centrocampista"
"Aldo Angoula",0,6,0,1,1,1,"Ligue 1","DC",8,"Defensor Central"
"Aldo Kalulu",3,10,1,6,1,0,"Ligue 1","Sub",24,"Suplente"
"Aldo One",0,0,0,0,0,0,"La Liga","DC",1,"Defensor Central"
"Aleandro Rosi",1,49,2,41,24,0,"Serie A","DR",93,"Defensor Lateral"
"Aleix Febas",0,8,3,21,4,0,"La Liga","MC",29,"Centrocampista"
"Aleix García",3,35,2,54,5,0,"La Liga","Sub",67,"Suplente"
"Aleix Vidal",9,69,14,108,20,0,"La Liga","Sub",113,"Suplente"
"Alejandro Arribas",2,31,1,6,20,1,"La Liga","DC",68,"Defensor Central"
"Alejandro Bedoya",6,80,4,53,4,1,"Ligue 1","AMC",56,"Centrocampista Ofensivo"
"Alejandro Cantero",0,3,0,3,1,0,"La Liga","FW",4,"Delantero"
"Alejandro Catena",0,3,0,0,1,0,"La Liga","DC",2,"Defensor Central"
"Alejandro Faurlin",0,3,0,1,0,0,"Premier League","MC",2,"Centrocampista"
"Alejandro Gomez",53,588,59,527,19,2,"Serie A","AMC",227,"Centrocampista Ofensivo"
"Alejandro González",0,3,0,3,3,0,"Serie A","DR",12,"Defensor Lateral"
"Alejandro Gálvez",4,48,1,13,24,1,"La Liga","DC",99,"Defensor Central"
"Alejandro Mula",0,17,0,2,1,0,"La Liga","Sub",11,"Suplente"
"Alejandro Pozo",1,18,2,29,4,0,"La Liga","DR",52,"Defensor Lateral"
"Alejandro Robles",0,0,0,0,0,0,"La Liga","DR",1,"Defensor Lateral"
"Alejandro Rodriguez",5,28,0,5,3,0,"Serie A","Sub",32,"Suplente"
"Aleksa Terzic",0,0,0,0,0,0,"Serie A","Sub",2,"Suplente"
"Aleksandar Dragovic",3,17,1,15,15,1,"Bundesliga","DC",82,"Defensor Central"
"Aleksandar Ignjovski",0,18,4,22,9,0,"Bundesliga","DR",57,"Defensor Lateral"
"Aleksandar Jovanovic",0,0,0,0,1,0,"La Liga","GK",12,"Portero"
"Aleksandar Katai",3,24,3,15,3,1,"La Liga","Sub",23,"Suplente"
"Aleksandar Kolarov",23,281,22,274,28,1,"Serie A","DL",186,"Defensor Lateral"
"Aleksandar Mitrovic",24,273,10,87,14,2,"Premier League","FW",104,"Delantero"
"Aleksandar Pantic",0,23,0,3,13,1,"La Liga","DC",51,"Defensor Central"
"Aleksandar Pesic",8,75,7,35,5,1,"Ligue 1","Sub",63,"Suplente"
"Aleksandar Radovanovic",0,0,0,0,0,0,"Ligue 1","DC",1,"Defensor Central"
"Aleksandar Tonev",1,63,1,15,4,0,"Serie A","Sub",43,"Suplente"
"Aleksandar Trajkovski",4,54,1,45,3,0,"Serie A","Sub",57,"Suplente"
"Aleksander Sedlar",0,1,0,1,3,1,"La Liga","DC",12,"Defensor Central"
"Aleksandr Golovin",11,115,16,109,13,2,"Ligue 1","AMC",76,"Centrocampista Ofensivo"
"Aleksandr Kokorin",0,0,0,0,1,0,"Serie A","Sub",4,"Suplente"
"Aleksey Miranchuk",4,15,2,14,0,0,"Serie A","Sub",25,"Suplente"
"Alen Halilovic",5,114,8,62,9,1,"La Liga","Sub",80,"Suplente"
"Alende",0,0,0,0,0,0,"La Liga","Sub",1,"Suplente"
"Ales Mateju",0,6,1,9,8,1,"Serie A","DL",31,"Defensor Lateral"
"Alessandro Agostini",0,3,1,10,4,0,"Serie A","DL",22,"Defensor Lateral"
"Alessandro Bastoni",3,24,3,27,15,1,"Serie A","DC",89,"Defensor Central"
"Alessandro Berardi",0,0,0,0,0,0,"Serie A","Sub",1,"Suplente"
"Alessandro Bruno",0,0,0,4,6,0,"Serie A","MC",15,"Centrocampista"
"Alessandro Buongiorno",0,3,0,1,4,0,"Serie A","DC",13,"Defensor Central"
"Alessandro Crescenzi",0,7,1,10,1,0,"Serie A","Sub",21,"Suplente"
"Alessandro Deiola",1,49,2,29,16,0,"Serie A","Sub",73,"Suplente"
"Alessandro Di Pardo",0,0,0,1,0,0,"Serie A","Sub",4,"Suplente"
"Alessandro Diamanti",4,110,6,77,16,1,"Serie A","Sub",61,"Suplente"
"Alessandro Florenzi",18,231,19,213,29,2,"Serie A","DR",185,"Defensor Lateral"
"Alessandro Frara",2,12,0,6,3,0,"Serie A","MC",20,"Centrocampista"
"Alessandro Gamberini",1,20,1,6,6,0,"Serie A","DC",85,"Defensor Central"
"Alessandro Gazzi",0,18,0,24,23,2,"Serie A","MC",70,"Centrocampista"
"Alessandro Iacobucci",0,0,0,0,0,0,"Serie A","GK",7,"Portero"
"Alessandro Longhi",0,7,2,9,3,0,"Serie A","DL",25,"Defensor Lateral"
"Alessandro Lucarelli",1,7,1,4,13,1,"Serie A","DC",28,"Defensor Central"
"Alessandro Mastalli",0,1,0,0,0,0,"Serie A","Sub",1,"Suplente"
"Alessandro Matri",24,132,6,76,9,2,"Serie A","Sub",121,"Suplente"
"Alessandro Murgia",2,54,4,61,8,1,"Serie A","MC",71,"Centrocampista"
"Alessandro Piu",0,3,0,1,0,0,"Serie A","Sub",10,"Suplente"
"Alessandro Rossi",0,1,0,0,0,0,"Serie A","Sub",3,"Suplente"
"Alessandro Schöpf",10,94,4,67,14,0,"Bundesliga","Sub",112,"Suplente"
"Alessandro Semprini",1,2,0,7,2,0,"Serie A","Sub",12,"Suplente"
"Alessandro Tripaldelli",0,0,0,1,1,0,"Serie A","Sub",12,"Suplente"
"Alessandro Tuia",1,8,0,3,6,0,"Serie A","DC",27,"Defensor Central"
"Alessio Cerci",8,107,8,68,2,1,"Serie A","Sub",71,"Suplente"
"Alessio Cragno",0,0,0,2,3,0,"Serie A","GK",131,"Portero"
"Alessio Da Cruz",0,1,0,0,0,0,"Serie A","Sub",3,"Suplente"
"Alessio Romagnoli",9,77,4,45,45,4,"Serie A","DC",208,"Defensor Central"
"Alex",4,32,1,6,8,0,"Serie A","DC",46,"Defensor Central"
"Alex Berenguer",18,142,18,158,16,0,"Serie A","Sub",148,"Suplente"
"Alex Bruce",0,1,1,1,3,0,"Premier League","DC",22,"Defensor Central"
"Alex Cordaz",0,0,0,3,5,1,"Serie A","GK",110,"Portero"
"Alex Ferrari",1,19,1,14,20,0,"Serie A","DC",77,"Defensor Central"
"Alex Iwobi",13,172,18,154,2,0,"Premier League","Sub",155,"Suplente"
"Alex McCarthy",0,0,0,1,5,0,"Premier League","GK",111,"Portero"
"Alex Meret",0,0,0,1,0,1,"Serie A","GK",71,"Portero"
"Alex Oxlade-Chamberlain",12,179,17,144,9,0,"Premier League","Sub",154,"Suplente"
"Alex Pritchard",3,67,1,53,3,0,"Premier League","AMC",47,"Centrocampista Ofensivo"
"Alex Sandro",13,106,17,208,31,1,"Serie A","DL",161,"Defensor Lateral"
"Alex Sola",0,2,0,1,0,0,"La Liga","DR",1,"Defensor Lateral"
"Alex Telles",0,18,3,37,5,1,"Serie A","DL",30,"Defensor Lateral"
"Alexander Baumjohann",1,8,2,14,0,0,"Bundesliga","Sub",24,"Suplente"
"Alexander Djiku",3,80,1,28,41,4,"Ligue 1","DC",158,"Defensor Central"
"Alexander Esswein",8,138,7,92,9,0,"Bundesliga","Sub",117,"Suplente"
"Alexander Farnerud",1,29,5,34,2,0,"Serie A","MC",27,"Centrocampista"
"Alexander Fuchs",1,9,0,10,3,0,"Bundesliga","MC",9,"Centrocampista"
"Alexander Hack",3,51,2,22,8,0,"Bundesliga","DC",86,"Defensor Central"
"Alexander Isak",25,130,3,26,8,0,"La Liga","FW",76,"Delantero"
"Alexander Kacaniklic",0,14,3,10,2,0,"Ligue 1","Sub",26,"Suplente"
"Alexander Madlung",4,16,0,1,5,0,"Bundesliga","DC",22,"Defensor Central"
"Alexander Manninger",0,0,0,0,0,0,"Bundesliga","GK",11,"Portero"
"Alexander Meier",37,173,5,50,1,1,"Bundesliga","FW",67,"Delantero"
"Alexander Merkel",0,1,0,1,1,0,"Serie A","MC",1,"Centrocampista"
"Alexander Milosevic",0,16,0,2,5,0,"Bundesliga","DC",28,"Defensor Central"
"Alexander Nübel",0,0,0,0,2,2,"Bundesliga","GK",47,"Portero"
"Alexander Schwolow",0,1,1,6,2,0,"Bundesliga","GK",150,"Portero"
"Alexander Szymanowski",10,61,4,48,2,0,"La Liga","AML",42,"Centrocampista Ofensivo"
"Alexander Søderlund",3,38,4,26,3,1,"Ligue 1","Sub",43,"Suplente"
"Alexander Sørloth",5,59,2,36,2,0,"Bundesliga","Sub",45,"Suplente"
"Alexander Tettey",3,43,1,10,15,0,"Premier League","DMC",53,"Centrocampista Defensivo"
"Alexandre Coeff",0,9,2,22,5,0,"Ligue 1","DR",24,"Defensor Lateral"
"Alexandre Geijo",1,9,0,4,0,0,"Serie A","Sub",13,"Suplente"
"Alexandre Jankewitz",0,0,0,0,0,1,"Premier League","Sub",2,"Suplente"
"Alexandre Lacazette",126,521,30,260,28,0,"Premier League","FW",225,"Delantero"
"Alexandre Lauray",0,0,0,0,1,0,"Ligue 1","DC",3,"Defensor Central"
"Alexandre Letellier",0,0,0,2,1,0,"Ligue 1","GK",36,"Portero"
"Alexandre Llovet",0,0,1,1,0,0,"Ligue 1","Sub",2,"Suplente"
"Alexandre Mendy",14,123,1,41,8,1,"Ligue 1","Sub",92,"Suplente"
"Alexandre Olliero",0,0,0,0,0,0,"Ligue 1","GK",1,"Portero"
"Alexandre Oukidja",0,0,0,3,6,1,"Ligue 1","GK",78,"Portero"
"Alexandre Pato",3,32,1,7,0,0,"La Liga","FW",16,"Delantero"
"Alexandre Raineau",0,0,0,0,0,0,"Ligue 1","Sub",7,"Suplente"
"Alexandre Song",0,18,3,36,5,0,"Premier League","DMC",40,"Centrocampista Defensivo"
"Alexandru Maxim",6,103,13,120,12,0,"Bundesliga","Sub",99,"Suplente"
"Alexandru Mitrita",1,11,2,7,1,0,"Serie A","Sub",15,"Suplente"
"Alexis",5,27,2,22,36,2,"La Liga","DC",96,"Defensor Central"
"Alexis Alegue",1,3,0,2,0,0,"Ligue 1","Sub",6,"Suplente"
"Alexis Araujo",0,0,0,1,0,0,"Ligue 1","Sub",1,"Suplente"
"Alexis Blin",2,48,5,39,23,1,"Ligue 1","MC",133,"Centrocampista"
"Alexis Busin",1,6,0,4,0,0,"Ligue 1","Sub",6,"Suplente"
"Alexis Claude Maurice",5,73,6,55,4,0,"Ligue 1","MC",52,"Centrocampista"
"Alexis Flips",1,2,0,0,0,0,"Ligue 1","Sub",2,"Suplente"
"Alexis Mac Allister",1,31,1,20,1,0,"Premier League","Sub",30,"Suplente"
"Alexis Mane",0,0,0,0,0,0,"Ligue 1","Sub",4,"Suplente"
"Alexis Peuget",1,13,0,7,4,0,"Ligue 1","DMC",21,"Centrocampista Defensivo"
"Alexis Saelemaekers",3,37,4,37,7,2,"Serie A","AMR",45,"Centrocampista Ofensivo"
"Alexis Sánchez",74,514,45,387,21,1,"Premier League","AML",206,"Centrocampista Ofensivo"
"Alexis Thébaux",0,0,0,0,0,0,"Ligue 1","GK",1,"Portero"
"Alexis Trouillet",0,2,0,2,0,0,"Ligue 1","Sub",5,"Suplente"
"Alexis Zapata",0,0,0,0,0,0,"Serie A","Sub",1,"Suplente"
"Alexy Bosetti",5,31,1,14,3,0,"Ligue 1","Sub",27,"Suplente"
"Alfa Semedo",0,2,0,1,1,0,"La Liga","Sub",3,"Suplente"
